Parcel ID,Feature Type,Category,Area (sq m),Area (hectares),Area (acres),Area (gaj),Perimeter (m),Vertex Count,Confidence,Status
CAD-0001,Building,Structure,650.82,0.0651,0.1608,778.38,141.62,14,88%,Verified
CAD-0002,Building,Structure,3262.97,0.3263,0.8063,3902.51,242.9,6,88%,Verified
CAD-0003,Building,Structure,428.57,0.0429,0.1059,512.57,83.34,6,88%,Verified
CAD-0004,Building,Structure,36.7,0.0037,0.0091,43.89,24.32,7,88%,Verified
CAD-0005,Building,Structure,445.57,0.0446,0.1101,532.9,86.03,13,88%,Verified
CAD-0006,Building,Structure,357.73,0.0358,0.0884,427.85,77.77,7,88%,Verified
CAD-0007,Building,Structure,278.78,0.0279,0.0689,333.42,66.33,5,88%,Verified
CAD-0008,Building,Structure,1330.47,0.133,0.3288,1591.24,243.2,5,88%,Verified
CAD-0009,Building,Structure,1386.32,0.1386,0.3426,1658.04,190.98,7,88%,Verified
CAD-0010,Building,Structure,9729.91,0.973,2.4043,11636.97,395.2,5,88%,Verified
CAD-0011,Building,Structure,3879.88,0.388,0.9587,4640.34,260.72,7,88%,Verified
CAD-0012,Building,Structure,7865.4,0.7865,1.9436,9407.02,366.02,12,88%,Verified
CAD-0013,Building,Structure,934.31,0.0934,0.2309,1117.43,123.35,6,88%,Verified
CAD-0014,Building,Structure,202.1,0.0202,0.0499,241.71,57.33,7,88%,Verified
CAD-0015,Building,Structure,357.12,0.0357,0.0882,427.12,78.4,5,88%,Verified
CAD-0016,Building,Structure,413.09,0.0413,0.1021,494.06,82.88,6,88%,Verified
CAD-0017,Building,Structure,783.25,0.0783,0.1935,936.77,123.28,5,88%,Verified
CAD-0018,Building,Structure,3708.99,0.3709,0.9165,4435.95,268.32,5,88%,Verified
CAD-0019,Building,Structure,382.9,0.0383,0.0946,457.95,78.87,10,88%,Verified
CAD-0020,Building,Structure,3252.24,0.3252,0.8036,3889.68,271.1,10,88%,Verified
CAD-0021,Building,Structure,352.82,0.0353,0.0872,421.97,90.79,6,88%,Verified
CAD-0022,Building,Structure,709.11,0.0709,0.1752,848.1,114.69,8,88%,Verified
CAD-0023,Building,Structure,412.83,0.0413,0.102,493.74,82.24,8,88%,Verified
CAD-0024,Building,Structure,1117.95,0.1118,0.2763,1337.07,133.92,5,88%,Verified
CAD-0025,Building,Structure,275.01,0.0275,0.068,328.91,66.01,5,88%,Verified
CAD-0026,Building,Structure,318.54,0.0319,0.0787,380.97,75.36,5,88%,Verified
CAD-0027,Building,Structure,287.55,0.0288,0.0711,343.91,66.14,10,88%,Verified
CAD-0028,Building,Structure,315.15,0.0315,0.0779,376.92,79.39,9,88%,Verified
CAD-0029,Building,Structure,257.57,0.0258,0.0636,308.05,65.37,8,88%,Verified
CAD-0030,Building,Structure,161.82,0.0162,0.04,193.54,55.58,7,88%,Verified
CAD-0031,Building,Structure,352.61,0.0353,0.0871,421.72,80.02,10,88%,Verified
CAD-0032,Building,Structure,357.89,0.0358,0.0884,428.04,75.6,5,88%,Verified
CAD-0033,Building,Structure,316.42,0.0316,0.0782,378.44,80.02,16,88%,Verified
CAD-0034,Building,Structure,438.03,0.0438,0.1082,523.88,88.88,10,88%,Verified
CAD-0035,Building,Structure,385.39,0.0385,0.0952,460.93,80.17,5,88%,Verified
CAD-0036,Building,Structure,421.88,0.0422,0.1042,504.57,83.69,5,88%,Verified
CAD-0037,Building,Structure,556.25,0.0556,0.1375,665.27,104.79,10,88%,Verified
CAD-0038,Building,Structure,480.33,0.048,0.1187,574.47,90.09,9,88%,Verified
CAD-0039,Building,Structure,713.86,0.0714,0.1764,853.78,119.04,5,88%,Verified
CAD-0040,Building,Structure,271.49,0.0271,0.0671,324.7,70.26,13,88%,Verified
CAD-0041,Building,Structure,255.17,0.0255,0.0631,305.18,63.52,5,88%,Verified
CAD-0042,Building,Structure,266.62,0.0267,0.0659,318.88,65.2,5,88%,Verified
CAD-0043,Building,Structure,3847.72,0.3848,0.9508,4601.87,279.36,5,88%,Verified
CAD-0044,Building,Structure,358.13,0.0358,0.0885,428.32,76.08,5,88%,Verified
CAD-0045,Building,Structure,3572.95,0.3573,0.8829,4273.25,258.49,5,88%,Verified
CAD-0046,Building,Structure,261.85,0.0262,0.0647,313.17,67.1,9,88%,Verified
CAD-0047,Building,Structure,177.4,0.0177,0.0438,212.17,54.07,7,88%,Verified
CAD-0048,Building,Structure,3084.16,0.3084,0.7621,3688.66,236.12,6,88%,Verified
CAD-0049,Building,Structure,156.92,0.0157,0.0388,187.68,50.28,6,88%,Verified
CAD-0050,Building,Structure,169.09,0.0169,0.0418,202.23,56.97,8,88%,Verified
CAD-0051,Tree / Forest,Vegetation,3.41,0.0003,0.0008,4.08,9.15,9,85%,Pending Review
CAD-0052,Tree / Forest,Vegetation,4.68,0.0005,0.0012,5.6,17.61,7,85%,Pending Review
CAD-0053,Tree / Forest,Vegetation,5.24,0.0005,0.0013,6.27,11.63,10,85%,Pending Review
CAD-0054,Tree / Forest,Vegetation,7.61,0.0008,0.0019,9.1,18.59,7,85%,Pending Review
CAD-0055,Tree / Forest,Vegetation,8.23,0.0008,0.002,9.84,11.94,9,85%,Pending Review
CAD-0056,Tree / Forest,Vegetation,4.28,0.0004,0.0011,5.12,12.04,9,85%,Pending Review
CAD-0057,Tree / Forest,Vegetation,24.17,0.0024,0.006,28.91,36.93,8,85%,Pending Review
CAD-0058,Agricultural Land,Land,16.55,0.0017,0.0041,19.79,25.22,10,80%,Pending Review
CAD-0059,Agricultural Land,Land,25.3,0.0025,0.0063,30.26,25.64,11,80%,Pending Review
CAD-0060,Agricultural Land,Land,76.36,0.0076,0.0189,91.33,53.87,8,80%,Pending Review
CAD-0061,Agricultural Land,Land,18.59,0.0019,0.0046,22.23,26.69,10,80%,Pending Review
CAD-0062,Agricultural Land,Land,78.44,0.0078,0.0194,93.81,43.78,11,80%,Pending Review
CAD-0063,Agricultural Land,Land,31.58,0.0032,0.0078,37.77,28.37,11,80%,Pending Review
CAD-0064,Agricultural Land,Land,41.5,0.0042,0.0103,49.63,32.45,11,80%,Pending Review
CAD-0065,Agricultural Land,Land,96.59,0.0097,0.0239,115.52,49.76,11,80%,Pending Review
CAD-0066,Agricultural Land,Land,218.45,0.0218,0.054,261.27,67.14,9,80%,Pending Review
CAD-0067,Agricultural Land,Land,163.16,0.0163,0.0403,195.14,82.93,8,80%,Pending Review
CAD-0068,Agricultural Land,Land,207.93,0.0208,0.0514,248.68,89.32,7,80%,Pending Review
CAD-0069,Agricultural Land,Land,27.39,0.0027,0.0068,32.76,28.89,10,80%,Pending Review
CAD-0070,Agricultural Land,Land,75.5,0.0076,0.0187,90.3,47.4,9,80%,Pending Review
CAD-0071,Agricultural Land,Land,16.86,0.0017,0.0042,20.16,19.23,11,80%,Pending Review
CAD-0072,Agricultural Land,Land,57.89,0.0058,0.0143,69.24,40.2,11,80%,Pending Review
CAD-0073,Agricultural Land,Land,17.17,0.0017,0.0042,20.54,19.18,11,80%,Pending Review
CAD-0074,Agricultural Land,Land,24.52,0.0025,0.0061,29.33,20.71,10,80%,Pending Review
CAD-0075,Agricultural Land,Land,72.42,0.0072,0.0179,86.61,51.95,9,80%,Pending Review
CAD-0076,Agricultural Land,Land,24.43,0.0024,0.006,29.22,29.22,11,80%,Pending Review
