Parcel ID,Feature Type,Category,Area (sq m),Area (hectares),Area (acres),Area (gaj),Perimeter (m),Vertex Count,Confidence,Status
CAD-0001,Building,Structure,1442.01,0.1442,0.3563,1724.64,167.63,12,88%,Verified
CAD-0002,Building,Structure,46.32,0.0046,0.0114,55.4,31.38,13,88%,Verified
CAD-0003,Building,Structure,133.65,0.0134,0.033,159.85,48.68,7,88%,Verified
CAD-0004,Building,Structure,52.98,0.0053,0.0131,63.36,27.8,8,88%,Verified
CAD-0005,Building,Structure,136.84,0.0137,0.0338,163.66,56.31,12,88%,Verified
CAD-0006,Building,Structure,80.18,0.008,0.0198,95.9,35.61,8,88%,Verified
CAD-0007,Building,Structure,51.56,0.0052,0.0127,61.67,28.35,17,88%,Verified
CAD-0008,Building,Structure,27.8,0.0028,0.0069,33.25,21.21,18,88%,Verified
CAD-0009,Building,Structure,137.48,0.0137,0.034,164.43,50.73,10,88%,Verified
CAD-0010,Building,Structure,99.13,0.0099,0.0245,118.56,43.8,11,88%,Verified
CAD-0011,Building,Structure,122.93,0.0123,0.0304,147.02,68.28,18,88%,Verified
CAD-0012,Building,Structure,28.82,0.0029,0.0071,34.47,21.31,8,88%,Verified
CAD-0013,Building,Structure,27.99,0.0028,0.0069,33.48,21.08,14,88%,Verified
CAD-0014,Building,Structure,142.14,0.0142,0.0351,170.0,51.03,18,88%,Verified
CAD-0015,Building,Structure,354.79,0.0355,0.0877,424.33,99.97,16,88%,Verified
CAD-0016,Building,Structure,44.58,0.0045,0.011,53.32,25.83,11,88%,Verified
CAD-0017,Building,Structure,12.78,0.0013,0.0032,15.28,15.92,9,88%,Verified
CAD-0018,Building,Structure,29.73,0.003,0.0073,35.56,21.53,7,88%,Verified
CAD-0019,Building,Structure,391.96,0.0392,0.0969,468.78,221.06,17,88%,Verified
CAD-0020,Building,Structure,30.48,0.003,0.0075,36.45,21.94,15,88%,Verified
CAD-0021,Building,Structure,65.08,0.0065,0.0161,77.84,32.41,13,88%,Verified
CAD-0022,Building,Structure,42.19,0.0042,0.0104,50.46,26.83,17,88%,Verified
CAD-0023,Building,Structure,26.37,0.0026,0.0065,31.54,20.38,12,88%,Verified
CAD-0024,Building,Structure,22.96,0.0023,0.0057,27.46,18.97,11,88%,Verified
CAD-0025,Building,Structure,49.54,0.005,0.0122,59.25,26.91,10,88%,Verified
CAD-0026,Building,Structure,39.75,0.004,0.0098,47.54,24.3,17,88%,Verified
CAD-0027,Building,Structure,118.18,0.0118,0.0292,141.34,52.03,12,88%,Verified
CAD-0028,Building,Structure,43.34,0.0043,0.0107,51.83,26.07,15,88%,Verified
CAD-0029,Building,Structure,32.43,0.0032,0.008,38.79,22.0,9,88%,Verified
CAD-0030,Building,Structure,31.83,0.0032,0.0079,38.07,22.45,11,88%,Verified
CAD-0031,Building,Structure,116.18,0.0116,0.0287,138.95,48.44,8,88%,Verified
CAD-0032,Building,Structure,20.45,0.002,0.0051,24.46,17.79,11,88%,Verified
CAD-0033,Building,Structure,77.9,0.0078,0.0192,93.17,47.32,13,88%,Verified
CAD-0034,Building,Structure,35.29,0.0035,0.0087,42.21,23.37,10,88%,Verified
CAD-0035,Building,Structure,41.23,0.0041,0.0102,49.31,24.81,11,88%,Verified
CAD-0036,Building,Structure,70.55,0.0071,0.0174,84.38,34.98,15,88%,Verified
CAD-0037,Building,Structure,54.13,0.0054,0.0134,64.74,29.3,6,88%,Verified
CAD-0038,Building,Structure,28.7,0.0029,0.0071,34.33,22.26,14,88%,Verified
CAD-0039,Building,Structure,67.76,0.0068,0.0167,81.04,32.59,10,88%,Verified
CAD-0040,Building,Structure,84.87,0.0085,0.021,101.5,45.17,17,88%,Verified
CAD-0041,Building,Structure,29.35,0.0029,0.0073,35.1,21.94,14,88%,Verified
CAD-0042,Building,Structure,255.13,0.0255,0.063,305.14,103.45,19,88%,Verified
CAD-0043,Building,Structure,201.3,0.0201,0.0497,240.75,95.7,21,88%,Verified
CAD-0044,Building,Structure,26.18,0.0026,0.0065,31.31,20.01,7,88%,Verified
CAD-0045,Building,Structure,104.15,0.0104,0.0257,124.56,45.03,11,88%,Verified
CAD-0046,Building,Structure,88.99,0.0089,0.022,106.43,39.05,9,88%,Verified
CAD-0047,Building,Structure,20.48,0.002,0.0051,24.49,17.88,15,88%,Verified
CAD-0048,Building,Structure,489.66,0.049,0.121,585.63,109.22,18,88%,Verified
CAD-0049,Building,Structure,51.64,0.0052,0.0128,61.76,28.45,10,88%,Verified
CAD-0050,Building,Structure,59.91,0.006,0.0148,71.65,32.11,11,88%,Verified
CAD-0051,Building,Structure,55.28,0.0055,0.0137,66.11,34.89,14,88%,Verified
CAD-0052,Building,Structure,65.77,0.0066,0.0163,78.66,34.08,14,88%,Verified
CAD-0053,Building,Structure,42.29,0.0042,0.0105,50.58,25.92,16,88%,Verified
CAD-0054,Building,Structure,56.89,0.0057,0.0141,68.04,32.87,13,88%,Verified
CAD-0055,Building,Structure,32.27,0.0032,0.008,38.59,22.44,13,88%,Verified
CAD-0056,Building,Structure,24.44,0.0024,0.006,29.23,19.79,17,88%,Verified
CAD-0057,Building,Structure,38.31,0.0038,0.0095,45.82,26.8,16,88%,Verified
CAD-0058,Building,Structure,186.46,0.0186,0.0461,223.01,65.69,12,88%,Verified
CAD-0059,Building,Structure,36.25,0.0036,0.009,43.35,23.68,21,88%,Verified
CAD-0060,Tree / Forest,Vegetation,5.8,0.0006,0.0014,6.94,14.23,8,85%,Pending Review
CAD-0061,Tree / Forest,Vegetation,2.95,0.0003,0.0007,3.53,11.01,9,85%,Pending Review
CAD-0062,Tree / Forest,Vegetation,5.73,0.0006,0.0014,6.85,9.88,7,85%,Pending Review
CAD-0063,Tree / Forest,Vegetation,7.23,0.0007,0.0018,8.65,14.23,10,85%,Pending Review
CAD-0064,Tree / Forest,Vegetation,2.88,0.0003,0.0007,3.44,6.99,10,85%,Pending Review
CAD-0065,Tree / Forest,Vegetation,3.99,0.0004,0.001,4.77,9.56,8,85%,Pending Review
CAD-0066,Tree / Forest,Vegetation,7.64,0.0008,0.0019,9.14,13.42,7,85%,Pending Review
CAD-0067,Tree / Forest,Vegetation,3.32,0.0003,0.0008,3.97,6.94,11,85%,Pending Review
CAD-0068,Tree / Forest,Vegetation,2.96,0.0003,0.0007,3.54,8.08,10,85%,Pending Review
CAD-0069,Tree / Forest,Vegetation,8.04,0.0008,0.002,9.62,16.12,6,85%,Pending Review
CAD-0070,Tree / Forest,Vegetation,17.06,0.0017,0.0042,20.4,23.5,9,85%,Pending Review
CAD-0071,Tree / Forest,Vegetation,3.62,0.0004,0.0009,4.33,7.2,11,85%,Pending Review
CAD-0072,Tree / Forest,Vegetation,5.86,0.0006,0.0014,7.01,13.79,10,85%,Pending Review
CAD-0073,Tree / Forest,Vegetation,4.16,0.0004,0.001,4.98,8.62,11,85%,Pending Review
CAD-0074,Tree / Forest,Vegetation,5.31,0.0005,0.0013,6.35,13.84,10,85%,Pending Review
CAD-0075,Tree / Forest,Vegetation,74.25,0.0074,0.0183,88.8,49.44,7,85%,Pending Review
CAD-0076,Tree / Forest,Vegetation,5.99,0.0006,0.0015,7.16,13.83,11,85%,Pending Review
CAD-0077,Tree / Forest,Vegetation,4.88,0.0005,0.0012,5.84,9.69,9,85%,Pending Review
CAD-0078,Tree / Forest,Vegetation,12.63,0.0013,0.0031,15.11,17.39,7,85%,Pending Review
CAD-0079,Tree / Forest,Vegetation,2.68,0.0003,0.0007,3.21,8.45,10,85%,Pending Review
CAD-0080,Tree / Forest,Vegetation,35.04,0.0035,0.0087,41.91,29.0,10,85%,Pending Review
CAD-0081,Tree / Forest,Vegetation,8.8,0.0009,0.0022,10.52,13.23,10,85%,Pending Review
CAD-0082,Tree / Forest,Vegetation,7.62,0.0008,0.0019,9.11,14.57,8,85%,Pending Review
CAD-0083,Tree / Forest,Vegetation,2.71,0.0003,0.0007,3.24,6.28,12,85%,Pending Review
CAD-0084,Tree / Forest,Vegetation,3.6,0.0004,0.0009,4.31,7.49,13,85%,Pending Review
CAD-0085,Tree / Forest,Vegetation,5.77,0.0006,0.0014,6.9,11.56,9,85%,Pending Review
CAD-0086,Tree / Forest,Vegetation,2.84,0.0003,0.0007,3.4,7.7,9,85%,Pending Review
CAD-0087,Tree / Forest,Vegetation,12.67,0.0013,0.0031,15.15,13.99,11,85%,Pending Review
CAD-0088,Tree / Forest,Vegetation,7.36,0.0007,0.0018,8.8,12.03,12,85%,Pending Review
CAD-0089,Tree / Forest,Vegetation,74.86,0.0075,0.0185,89.53,55.81,9,85%,Pending Review
CAD-0090,Tree / Forest,Vegetation,10.74,0.0011,0.0027,12.85,12.89,10,85%,Pending Review
CAD-0091,Tree / Forest,Vegetation,11.8,0.0012,0.0029,14.11,19.12,9,85%,Pending Review
CAD-0092,Tree / Forest,Vegetation,2.63,0.0003,0.0006,3.15,8.04,9,85%,Pending Review
CAD-0093,Tree / Forest,Vegetation,6.32,0.0006,0.0016,7.56,17.26,11,85%,Pending Review
CAD-0094,Tree / Forest,Vegetation,7.27,0.0007,0.0018,8.69,14.05,9,85%,Pending Review
CAD-0095,Tree / Forest,Vegetation,3.8,0.0004,0.0009,4.54,8.22,11,85%,Pending Review
CAD-0096,Tree / Forest,Vegetation,9.57,0.001,0.0024,11.45,14.74,12,85%,Pending Review
CAD-0097,Tree / Forest,Vegetation,2.79,0.0003,0.0007,3.34,6.52,13,85%,Pending Review
CAD-0098,Tree / Forest,Vegetation,10.48,0.001,0.0026,12.53,14.49,10,85%,Pending Review
CAD-0099,Tree / Forest,Vegetation,22.72,0.0023,0.0056,27.17,21.57,10,85%,Pending Review
CAD-0100,Tree / Forest,Vegetation,2.68,0.0003,0.0007,3.21,7.19,13,85%,Pending Review
CAD-0101,Tree / Forest,Vegetation,9.03,0.0009,0.0022,10.8,16.24,9,85%,Pending Review
CAD-0102,Tree / Forest,Vegetation,11.05,0.0011,0.0027,13.22,15.42,10,85%,Pending Review
CAD-0103,Tree / Forest,Vegetation,6.44,0.0006,0.0016,7.7,14.0,9,85%,Pending Review
CAD-0104,Tree / Forest,Vegetation,2.62,0.0003,0.0006,3.13,6.45,12,85%,Pending Review
CAD-0105,Tree / Forest,Vegetation,2.97,0.0003,0.0007,3.55,8.51,9,85%,Pending Review
CAD-0106,Tree / Forest,Vegetation,2.62,0.0003,0.0006,3.13,6.4,13,85%,Pending Review
CAD-0107,Tree / Forest,Vegetation,81.01,0.0081,0.02,96.89,43.31,8,85%,Pending Review
CAD-0108,Tree / Forest,Vegetation,4.73,0.0005,0.0012,5.66,8.82,11,85%,Pending Review
CAD-0109,Tree / Forest,Vegetation,4.78,0.0005,0.0012,5.72,8.84,11,85%,Pending Review
CAD-0110,Tree / Forest,Vegetation,67.64,0.0068,0.0167,80.9,52.38,8,85%,Pending Review
CAD-0111,Tree / Forest,Vegetation,3.11,0.0003,0.0008,3.72,7.18,9,85%,Pending Review
CAD-0112,Tree / Forest,Vegetation,14.53,0.0015,0.0036,17.38,18.53,11,85%,Pending Review
CAD-0113,Tree / Forest,Vegetation,24.0,0.0024,0.0059,28.7,24.25,8,85%,Pending Review
CAD-0114,Tree / Forest,Vegetation,2.74,0.0003,0.0007,3.28,8.65,11,85%,Pending Review
CAD-0115,Tree / Forest,Vegetation,56.41,0.0056,0.0139,67.47,33.7,11,85%,Pending Review
CAD-0116,Tree / Forest,Vegetation,20.96,0.0021,0.0052,25.07,24.59,10,85%,Pending Review
CAD-0117,Tree / Forest,Vegetation,10.64,0.0011,0.0026,12.73,18.55,8,85%,Pending Review
CAD-0118,Tree / Forest,Vegetation,45.56,0.0046,0.0113,54.49,31.81,9,85%,Pending Review
CAD-0119,Tree / Forest,Vegetation,8.81,0.0009,0.0022,10.54,15.85,10,85%,Pending Review
CAD-0120,Tree / Forest,Vegetation,19.05,0.0019,0.0047,22.78,22.89,8,85%,Pending Review
CAD-0121,Tree / Forest,Vegetation,10.59,0.0011,0.0026,12.67,15.71,9,85%,Pending Review
CAD-0122,Tree / Forest,Vegetation,2.96,0.0003,0.0007,3.54,8.89,9,85%,Pending Review
CAD-0123,Tree / Forest,Vegetation,11.7,0.0012,0.0029,13.99,19.78,8,85%,Pending Review
CAD-0124,Tree / Forest,Vegetation,3.59,0.0004,0.0009,4.29,7.34,12,85%,Pending Review
CAD-0125,Tree / Forest,Vegetation,11.44,0.0011,0.0028,13.68,15.38,10,85%,Pending Review
CAD-0126,Tree / Forest,Vegetation,3.31,0.0003,0.0008,3.96,8.27,10,85%,Pending Review
CAD-0127,Tree / Forest,Vegetation,5.12,0.0005,0.0013,6.12,11.24,10,85%,Pending Review
