Parcel ID,Feature Type,Category,Area (sq m),Area (hectares),Area (acres),Area (gaj),Perimeter (m),Vertex Count,Confidence,Status
CAD-0001,Building,Structure,5627.39,0.5627,1.3906,6730.36,344.31,17,88%,Verified
CAD-0002,Building,Structure,1705.16,0.1705,0.4214,2039.37,168.32,5,88%,Verified
CAD-0003,Building,Structure,659.64,0.066,0.163,788.93,105.76,5,88%,Verified
CAD-0004,Building,Structure,11547.55,1.1548,2.8535,13810.87,428.26,5,88%,Verified
CAD-0005,Building,Structure,1606.17,0.1606,0.3969,1920.98,171.09,7,88%,Verified
CAD-0006,Building,Structure,1837.12,0.1837,0.454,2197.2,226.3,13,88%,Verified
CAD-0007,Building,Structure,5531.47,0.5531,1.3669,6615.64,402.58,12,88%,Verified
CAD-0008,Building,Structure,1811.69,0.1812,0.4477,2166.78,218.89,17,88%,Verified
CAD-0009,Building,Structure,6025.91,0.6026,1.489,7206.99,327.07,7,88%,Verified
CAD-0010,Building,Structure,662.25,0.0662,0.1636,792.05,104.33,5,88%,Verified
CAD-0011,Building,Structure,10602.76,1.0603,2.62,12680.9,418.58,10,88%,Verified
CAD-0012,Building,Structure,1165.44,0.1165,0.288,1393.87,136.05,7,88%,Verified
CAD-0013,Building,Structure,5535.81,0.5536,1.3679,6620.83,378.43,12,88%,Verified
CAD-0014,Building,Structure,938.5,0.0939,0.2319,1122.45,136.16,5,88%,Verified
CAD-0015,Building,Structure,9609.31,0.9609,2.3745,11492.73,491.95,16,88%,Verified
CAD-0016,Building,Structure,738.54,0.0739,0.1825,883.29,113.02,8,88%,Verified
CAD-0017,Building,Structure,10580.38,1.058,2.6145,12654.13,593.51,20,88%,Verified
CAD-0018,Building,Structure,1389.84,0.139,0.3434,1662.25,162.29,6,88%,Verified
CAD-0019,Building,Structure,3202.79,0.3203,0.7914,3830.54,232.16,8,88%,Verified
CAD-0020,Building,Structure,576.72,0.0577,0.1425,689.76,93.13,8,88%,Verified
CAD-0021,Building,Structure,282.7,0.0283,0.0699,338.11,67.59,6,88%,Verified
CAD-0022,Building,Structure,13997.86,1.3998,3.4589,16741.44,1020.64,26,88%,Verified
CAD-0023,Building,Structure,893.67,0.0894,0.2208,1068.83,122.3,7,88%,Verified
CAD-0024,Building,Structure,1107.98,0.1108,0.2738,1325.14,201.02,16,88%,Verified
CAD-0025,Building,Structure,14.85,0.0015,0.0037,17.76,16.98,7,88%,Verified
CAD-0026,Building,Structure,22.75,0.0023,0.0056,27.21,19.88,7,88%,Verified
CAD-0027,Building,Structure,2196.8,0.2197,0.5428,2627.37,209.72,5,88%,Verified
CAD-0028,Building,Structure,8638.25,0.8638,2.1346,10331.35,856.73,25,88%,Verified
CAD-0029,Building,Structure,2106.92,0.2107,0.5206,2519.88,294.91,16,88%,Verified
CAD-0030,Building,Structure,19223.25,1.9223,4.7502,22991.01,865.65,19,88%,Verified
CAD-0031,Building,Structure,2623.64,0.2624,0.6483,3137.87,237.08,7,88%,Verified
CAD-0032,Building,Structure,171.26,0.0171,0.0423,204.83,52.36,7,88%,Verified
CAD-0033,Building,Structure,146.84,0.0147,0.0363,175.62,48.76,6,88%,Verified
CAD-0034,Building,Structure,2618.28,0.2618,0.647,3131.46,215.08,9,88%,Verified
CAD-0035,Building,Structure,343.22,0.0343,0.0848,410.49,78.56,5,88%,Verified
CAD-0036,Building,Structure,1511.9,0.1512,0.3736,1808.23,184.8,6,88%,Verified
CAD-0037,Building,Structure,23.42,0.0023,0.0058,28.01,19.16,7,88%,Verified
CAD-0038,Building,Structure,2540.38,0.254,0.6277,3038.29,241.75,17,88%,Verified
CAD-0039,Building,Structure,4025.29,0.4025,0.9947,4814.25,320.33,14,88%,Verified
CAD-0040,Building,Structure,1285.49,0.1285,0.3177,1537.45,150.15,6,88%,Verified
CAD-0041,Building,Structure,654.89,0.0655,0.1618,783.25,102.24,5,88%,Verified
CAD-0042,Building,Structure,377.13,0.0377,0.0932,451.05,80.81,5,88%,Verified
CAD-0043,Building,Structure,1917.03,0.1917,0.4737,2292.77,282.75,16,88%,Verified
CAD-0044,Building,Structure,552.13,0.0552,0.1364,660.35,92.53,6,88%,Verified
CAD-0045,Building,Structure,154.23,0.0154,0.0381,184.46,54.69,7,88%,Verified
CAD-0046,Building,Structure,5666.78,0.5667,1.4003,6777.47,309.28,5,88%,Verified
CAD-0047,Building,Structure,24.2,0.0024,0.006,28.94,21.94,7,88%,Verified
CAD-0048,Building,Structure,532.28,0.0532,0.1315,636.61,89.89,6,88%,Verified
CAD-0049,Building,Structure,31.42,0.0031,0.0078,37.58,22.76,6,88%,Verified
CAD-0050,Building,Structure,1317.55,0.1318,0.3256,1575.79,176.11,18,88%,Verified
CAD-0051,Building,Structure,29.41,0.0029,0.0073,35.17,23.86,7,88%,Verified
CAD-0052,Building,Structure,40.22,0.004,0.0099,48.1,25.9,11,88%,Verified
CAD-0053,Building,Structure,569.36,0.0569,0.1407,680.95,126.27,13,88%,Verified
CAD-0054,Building,Structure,19.43,0.0019,0.0048,23.24,18.08,5,88%,Verified
CAD-0055,Building,Structure,1453.57,0.1454,0.3592,1738.47,240.96,5,88%,Verified
CAD-0056,Building,Structure,165.56,0.0166,0.0409,198.01,49.63,7,88%,Verified
CAD-0057,Building,Structure,929.0,0.0929,0.2296,1111.08,136.77,11,88%,Verified
CAD-0058,Building,Structure,266.01,0.0266,0.0657,318.15,74.35,8,88%,Verified
CAD-0059,Building,Structure,116.68,0.0117,0.0288,139.55,52.85,8,88%,Verified
CAD-0060,Building,Structure,1421.21,0.1421,0.3512,1699.77,257.89,15,88%,Verified
CAD-0061,Building,Structure,32.2,0.0032,0.008,38.51,23.88,6,88%,Verified
CAD-0062,Building,Structure,73.88,0.0074,0.0183,88.36,34.64,7,88%,Verified
CAD-0063,Building,Structure,82.07,0.0082,0.0203,98.16,37.87,8,88%,Verified
CAD-0064,Building,Structure,14.17,0.0014,0.0035,16.95,17.17,11,88%,Verified
