Parcel ID,Feature Type,Land Use,Category,Area (sq m),Area (hectares),Area (acres),Area (gaj),Perimeter (m),Vertex Count,Confidence,Status
CAD-0001,Building,Residential,Structure,299.16,0.0299,0.0739,357.8,81.1,16,88%,Verified
CAD-0002,Building,Residential,Structure,220.9,0.0221,0.0546,264.2,67.11,15,88%,Verified
CAD-0003,Building,Residential,Structure,266.93,0.0267,0.066,319.25,78.92,22,88%,Verified
CAD-0004,Building,Residential,Structure,160.37,0.016,0.0396,191.8,53.49,12,88%,Verified
CAD-0005,Building,Residential,Structure,339.62,0.034,0.0839,406.19,114.55,20,88%,Verified
CAD-0006,Building,Residential,Structure,222.01,0.0222,0.0549,265.52,88.76,15,88%,Verified
CAD-0007,Building,Residential,Structure,205.0,0.0205,0.0507,245.18,56.42,14,88%,Verified
CAD-0008,Building,Residential,Structure,652.99,0.0653,0.1614,780.98,214.12,22,88%,Verified
CAD-0009,Building,Residential,Structure,185.95,0.0186,0.0459,222.4,116.27,17,88%,Verified
CAD-0010,Building,Residential,Structure,218.76,0.0219,0.0541,261.64,65.12,11,88%,Verified
CAD-0011,Building,Residential,Structure,125.1,0.0125,0.0309,149.62,56.31,22,88%,Verified
CAD-0012,Building,Residential,Structure,153.76,0.0154,0.038,183.9,65.88,19,88%,Verified
CAD-0013,Building,Residential,Structure,157.65,0.0158,0.039,188.55,57.41,17,88%,Verified
CAD-0014,Building,Residential,Structure,178.25,0.0178,0.044,213.19,68.82,14,88%,Verified
CAD-0015,Building,Residential,Structure,292.79,0.0293,0.0723,350.18,138.12,20,88%,Verified
CAD-0016,Building,Residential,Structure,326.99,0.0327,0.0808,391.08,70.2,8,88%,Verified
CAD-0017,Building,Residential,Structure,175.92,0.0176,0.0435,210.4,61.33,17,88%,Verified
CAD-0018,Building,Residential,Structure,177.22,0.0177,0.0438,211.96,66.91,17,88%,Verified
CAD-0019,Building,Residential,Structure,167.69,0.0168,0.0414,200.56,49.98,12,88%,Verified
CAD-0020,Building,Residential,Structure,182.93,0.0183,0.0452,218.78,52.59,10,88%,Verified
CAD-0021,Building,Residential,Structure,477.23,0.0477,0.1179,570.77,129.09,19,88%,Verified
CAD-0022,Building,Residential,Structure,105.56,0.0106,0.0261,126.25,81.7,22,88%,Verified
CAD-0023,Building,Residential,Structure,405.9,0.0406,0.1003,485.46,116.45,22,88%,Verified
CAD-0024,Building,Residential,Structure,15.12,0.0015,0.0037,18.08,15.49,17,88%,Verified
CAD-0025,Building,Residential,Structure,123.13,0.0123,0.0304,147.26,50.05,19,88%,Verified
CAD-0026,Building,Residential,Structure,216.85,0.0217,0.0536,259.35,143.44,20,88%,Verified
CAD-0027,Building,Residential,Structure,180.81,0.0181,0.0447,216.25,53.8,8,88%,Verified
CAD-0028,Building,Residential,Structure,91.24,0.0091,0.0225,109.12,43.92,11,88%,Verified
CAD-0029,Building,Residential,Structure,472.29,0.0472,0.1167,564.86,273.92,26,88%,Verified
CAD-0030,Building,Residential,Structure,82.67,0.0083,0.0204,98.87,38.4,11,88%,Verified
CAD-0031,Building,Residential,Structure,36.21,0.0036,0.0089,43.31,23.73,15,88%,Verified
CAD-0032,Building,Residential,Structure,42.73,0.0043,0.0106,51.11,25.63,13,88%,Verified
CAD-0033,Building,Residential,Structure,1491.05,0.1491,0.3684,1783.3,212.15,25,88%,Verified
CAD-0034,Building,Residential,Structure,121.03,0.0121,0.0299,144.75,43.5,15,88%,Verified
CAD-0035,Building,Residential,Structure,199.9,0.02,0.0494,239.08,83.43,23,88%,Verified
CAD-0036,Building,Residential,Structure,29.84,0.003,0.0074,35.69,21.89,14,88%,Verified
CAD-0037,Building,Residential,Structure,253.68,0.0254,0.0627,303.4,62.67,18,88%,Verified
CAD-0038,Building,Residential,Structure,139.76,0.014,0.0345,167.15,46.62,13,88%,Verified
CAD-0039,Building,Residential,Structure,36.83,0.0037,0.0091,44.05,28.16,7,88%,Verified
CAD-0040,Building,Residential,Structure,153.96,0.0154,0.038,184.14,57.88,16,88%,Verified
CAD-0041,Building,Residential,Structure,130.25,0.013,0.0322,155.78,53.39,19,88%,Verified
CAD-0042,Building,Residential,Structure,183.38,0.0183,0.0453,219.32,60.22,16,88%,Verified
CAD-0043,Building,Residential,Structure,23.78,0.0024,0.0059,28.44,19.81,13,88%,Verified
CAD-0044,Building,Residential,Structure,177.49,0.0177,0.0439,212.28,56.79,14,88%,Verified
CAD-0045,Building,Residential,Structure,53.58,0.0054,0.0132,64.08,39.61,11,88%,Verified
CAD-0046,Building,Residential,Structure,28.92,0.0029,0.0071,34.59,20.38,16,88%,Verified
CAD-0047,Building,Residential,Structure,73.31,0.0073,0.0181,87.68,36.18,12,88%,Verified
CAD-0048,Building,Residential,Structure,2.95,0.0003,0.0007,3.53,7.06,9,88%,Verified
CAD-0049,Building,Residential,Structure,122.31,0.0122,0.0302,146.28,46.38,15,88%,Verified
CAD-0050,Building,Residential,Structure,192.21,0.0192,0.0475,229.88,111.75,21,88%,Verified
CAD-0051,Building,Residential,Structure,143.16,0.0143,0.0354,171.22,72.27,17,88%,Verified
CAD-0052,Building,Residential,Structure,10.69,0.0011,0.0026,12.79,13.33,11,88%,Verified
CAD-0053,Building,Residential,Structure,39.57,0.004,0.0098,47.33,27.5,13,88%,Verified
CAD-0054,Building,Residential,Structure,383.52,0.0384,0.0948,458.69,122.82,26,88%,Verified
CAD-0055,Building,Residential,Structure,131.08,0.0131,0.0324,156.77,44.17,10,88%,Verified
CAD-0056,Building,Residential,Structure,114.14,0.0114,0.0282,136.51,43.13,13,88%,Verified
CAD-0057,Building,Residential,Structure,22.47,0.0022,0.0056,26.87,19.24,16,88%,Verified
CAD-0058,Building,Residential,Structure,167.19,0.0167,0.0413,199.96,58.12,14,88%,Verified
CAD-0059,Building,Residential,Structure,13.14,0.0013,0.0032,15.72,13.85,16,88%,Verified
CAD-0060,Building,Residential,Structure,11.96,0.0012,0.003,14.3,15.84,6,88%,Verified
CAD-0061,Building,Residential,Structure,9.88,0.001,0.0024,11.82,12.32,16,88%,Verified
CAD-0062,Building,Residential,Structure,107.49,0.0107,0.0266,128.56,39.54,15,88%,Verified
CAD-0063,Building,Residential,Structure,12.84,0.0013,0.0032,15.36,14.83,18,88%,Verified
CAD-0064,Building,Residential,Structure,43.56,0.0044,0.0108,52.1,32.95,15,88%,Verified
CAD-0065,Building,Residential,Structure,73.88,0.0074,0.0183,88.36,41.83,18,88%,Verified
CAD-0066,Building,Residential,Structure,28.33,0.0028,0.007,33.88,21.82,13,88%,Verified
CAD-0067,Building,Residential,Structure,27.41,0.0027,0.0068,32.78,20.64,19,88%,Verified
CAD-0068,Building,Residential,Structure,39.47,0.0039,0.0098,47.21,24.73,14,88%,Verified
CAD-0069,Building,Residential,Structure,5.8,0.0006,0.0014,6.94,9.55,12,88%,Verified
CAD-0070,Building,Residential,Structure,14.52,0.0015,0.0036,17.37,15.54,15,88%,Verified
CAD-0071,Building,Residential,Structure,62.61,0.0063,0.0155,74.88,34.07,16,88%,Verified
CAD-0072,Building,Residential,Structure,118.19,0.0118,0.0292,141.36,42.51,13,88%,Verified
CAD-0073,Building,Residential,Structure,23.16,0.0023,0.0057,27.7,23.36,24,88%,Verified
CAD-0074,Building,Residential,Structure,111.14,0.0111,0.0275,132.92,47.95,18,88%,Verified
CAD-0075,Building,Residential,Structure,95.45,0.0095,0.0236,114.16,40.8,17,88%,Verified
CAD-0076,Building,Residential,Structure,39.72,0.004,0.0098,47.51,26.04,17,88%,Verified
CAD-0077,Building,Residential,Structure,598.13,0.0598,0.1478,715.36,320.4,27,88%,Verified
CAD-0078,Building,Residential,Structure,13.76,0.0014,0.0034,16.46,14.52,15,88%,Verified
CAD-0079,Building,Residential,Structure,32.75,0.0033,0.0081,39.17,23.47,16,88%,Verified
CAD-0080,Building,Residential,Structure,255.93,0.0256,0.0632,306.09,73.86,16,88%,Verified
CAD-0081,Building,Residential,Structure,26.0,0.0026,0.0064,31.1,20.26,18,88%,Verified
CAD-0082,Building,Residential,Structure,93.12,0.0093,0.023,111.37,37.44,9,88%,Verified
CAD-0083,Building,Residential,Structure,56.45,0.0056,0.0139,67.51,29.77,15,88%,Verified
CAD-0084,Building,Residential,Structure,12.57,0.0013,0.0031,15.03,15.02,9,88%,Verified
CAD-0085,Building,Residential,Structure,165.23,0.0165,0.0408,197.62,69.38,14,88%,Verified
CAD-0086,Building,Residential,Structure,10.32,0.001,0.0026,12.34,13.27,11,88%,Verified
CAD-0087,Building,Residential,Structure,13.69,0.0014,0.0034,16.37,15.04,18,88%,Verified
CAD-0088,Building,Residential,Structure,457.97,0.0458,0.1132,547.73,115.19,26,88%,Verified
CAD-0089,Building,Residential,Structure,12.04,0.0012,0.003,14.4,13.98,15,88%,Verified
CAD-0090,Building,Residential,Structure,10.65,0.0011,0.0026,12.74,13.6,15,88%,Verified
CAD-0091,Building,Residential,Structure,11.38,0.0011,0.0028,13.61,13.47,18,88%,Verified
CAD-0092,Building,Residential,Structure,753.63,0.0754,0.1862,901.34,274.99,27,88%,Verified
CAD-0093,Building,Residential,Structure,285.93,0.0286,0.0707,341.97,103.53,20,88%,Verified
CAD-0094,Building,Residential,Structure,513.58,0.0514,0.1269,614.24,141.15,21,88%,Verified
CAD-0095,Building,Residential,Structure,9.63,0.001,0.0024,11.52,11.92,12,88%,Verified
CAD-0096,Tree / Forest,Vacant,Vegetation,5.5,0.0006,0.0014,6.58,12.43,7,85%,Pending Review
CAD-0097,Tree / Forest,Vacant,Vegetation,3.23,0.0003,0.0008,3.86,6.69,13,85%,Pending Review
CAD-0098,Tree / Forest,Vacant,Vegetation,7.2,0.0007,0.0018,8.61,12.55,9,85%,Pending Review
CAD-0099,Tree / Forest,Vacant,Vegetation,17.11,0.0017,0.0042,20.46,23.58,9,85%,Pending Review
CAD-0100,Tree / Forest,Vacant,Vegetation,14.54,0.0015,0.0036,17.39,17.62,9,85%,Pending Review
CAD-0101,Tree / Forest,Vacant,Vegetation,9.68,0.001,0.0024,11.58,15.57,11,85%,Pending Review
CAD-0102,Tree / Forest,Vacant,Vegetation,3.13,0.0003,0.0008,3.74,10.09,9,85%,Pending Review
CAD-0103,Tree / Forest,Vacant,Vegetation,2.59,0.0003,0.0006,3.1,6.6,10,85%,Pending Review
CAD-0104,Tree / Forest,Vacant,Vegetation,5.68,0.0006,0.0014,6.79,10.64,8,85%,Pending Review
CAD-0105,Tree / Forest,Vacant,Vegetation,2.66,0.0003,0.0007,3.18,8.6,9,85%,Pending Review
CAD-0106,Tree / Forest,Vacant,Vegetation,3.4,0.0003,0.0008,4.07,10.68,9,85%,Pending Review
CAD-0107,Tree / Forest,Vacant,Vegetation,2.93,0.0003,0.0007,3.5,6.85,11,85%,Pending Review
CAD-0108,Tree / Forest,Vacant,Vegetation,2.8,0.0003,0.0007,3.35,8.66,10,85%,Pending Review
CAD-0109,Tree / Forest,Vacant,Vegetation,5.23,0.0005,0.0013,6.26,10.51,9,85%,Pending Review
CAD-0110,Tree / Forest,Vacant,Vegetation,8.27,0.0008,0.002,9.89,18.6,9,85%,Pending Review
CAD-0111,Tree / Forest,Vacant,Vegetation,10.0,0.001,0.0025,11.96,14.53,9,85%,Pending Review
CAD-0112,Tree / Forest,Vacant,Vegetation,8.8,0.0009,0.0022,10.52,15.79,7,85%,Pending Review
CAD-0113,Tree / Forest,Vacant,Vegetation,2.68,0.0003,0.0007,3.21,6.95,8,85%,Pending Review
CAD-0114,Tree / Forest,Vacant,Vegetation,3.83,0.0004,0.0009,4.58,11.17,9,85%,Pending Review
CAD-0115,Tree / Forest,Vacant,Vegetation,3.8,0.0004,0.0009,4.54,10.49,8,85%,Pending Review
CAD-0116,Tree / Forest,Vacant,Vegetation,2.6,0.0003,0.0006,3.11,6.82,10,85%,Pending Review
CAD-0117,Tree / Forest,Vacant,Vegetation,8.48,0.0008,0.0021,10.14,17.04,8,85%,Pending Review
CAD-0118,Tree / Forest,Vacant,Vegetation,2.98,0.0003,0.0007,3.56,9.9,10,85%,Pending Review
CAD-0119,Tree / Forest,Vacant,Vegetation,2.84,0.0003,0.0007,3.4,6.92,11,85%,Pending Review
CAD-0120,Tree / Forest,Vacant,Vegetation,5.14,0.0005,0.0013,6.15,11.85,9,85%,Pending Review
CAD-0121,Tree / Forest,Vacant,Vegetation,2.87,0.0003,0.0007,3.43,8.58,8,85%,Pending Review
CAD-0122,Tree / Forest,Vacant,Vegetation,2.79,0.0003,0.0007,3.34,9.69,9,85%,Pending Review
CAD-0123,Tree / Forest,Vacant,Vegetation,2.96,0.0003,0.0007,3.54,7.98,11,85%,Pending Review
CAD-0124,Tree / Forest,Vacant,Vegetation,11.96,0.0012,0.003,14.3,21.48,8,85%,Pending Review
CAD-0125,Tree / Forest,Vacant,Vegetation,8.34,0.0008,0.0021,9.97,16.32,10,85%,Pending Review
CAD-0126,Tree / Forest,Vacant,Vegetation,6.2,0.0006,0.0015,7.42,13.17,8,85%,Pending Review
CAD-0127,Tree / Forest,Vacant,Vegetation,4.18,0.0004,0.001,5.0,8.14,10,85%,Pending Review
CAD-0128,Tree / Forest,Vacant,Vegetation,23.19,0.0023,0.0057,27.74,31.67,8,85%,Pending Review
CAD-0129,Tree / Forest,Vacant,Vegetation,3.09,0.0003,0.0008,3.7,8.86,11,85%,Pending Review
CAD-0130,Tree / Forest,Vacant,Vegetation,5.86,0.0006,0.0014,7.01,9.28,10,85%,Pending Review
CAD-0131,Tree / Forest,Vacant,Vegetation,4.87,0.0005,0.0012,5.82,12.03,10,85%,Pending Review
CAD-0132,Tree / Forest,Vacant,Vegetation,3.75,0.0004,0.0009,4.48,10.48,8,85%,Pending Review
CAD-0133,Tree / Forest,Vacant,Vegetation,10.07,0.001,0.0025,12.04,15.72,11,85%,Pending Review
CAD-0134,Tree / Forest,Vacant,Vegetation,7.27,0.0007,0.0018,8.69,15.93,8,85%,Pending Review
CAD-0135,Tree / Forest,Vacant,Vegetation,8.16,0.0008,0.002,9.76,15.87,9,85%,Pending Review
CAD-0136,Tree / Forest,Vacant,Vegetation,4.36,0.0004,0.0011,5.21,11.61,9,85%,Pending Review
CAD-0137,Tree / Forest,Vacant,Vegetation,2.76,0.0003,0.0007,3.3,7.63,11,85%,Pending Review
CAD-0138,Tree / Forest,Vacant,Vegetation,3.99,0.0004,0.001,4.77,11.17,9,85%,Pending Review
CAD-0139,Tree / Forest,Vacant,Vegetation,232.93,0.0233,0.0576,278.58,98.44,10,85%,Pending Review
CAD-0140,Tree / Forest,Vacant,Vegetation,19.92,0.002,0.0049,23.82,22.64,10,85%,Pending Review
CAD-0141,Tree / Forest,Vacant,Vegetation,3.72,0.0004,0.0009,4.45,9.13,10,85%,Pending Review
CAD-0142,Tree / Forest,Vacant,Vegetation,6.98,0.0007,0.0017,8.35,14.34,9,85%,Pending Review
CAD-0143,Tree / Forest,Vacant,Vegetation,6.25,0.0006,0.0015,7.47,13.06,7,85%,Pending Review
CAD-0144,Tree / Forest,Vacant,Vegetation,9.65,0.001,0.0024,11.54,13.68,8,85%,Pending Review
CAD-0145,Tree / Forest,Vacant,Vegetation,7.13,0.0007,0.0018,8.53,13.92,10,85%,Pending Review
CAD-0146,Playground / Open Turf,Mixed Use,Land,28.01,0.0028,0.0069,33.5,26.06,11,82%,Pending Review
CAD-0147,Playground / Open Turf,Mixed Use,Land,45.56,0.0046,0.0113,54.49,33.04,10,82%,Pending Review
CAD-0148,Playground / Open Turf,Mixed Use,Land,26.32,0.0026,0.0065,31.48,22.35,11,82%,Pending Review
CAD-0149,Playground / Open Turf,Mixed Use,Land,53.32,0.0053,0.0132,63.77,36.38,12,82%,Pending Review
CAD-0150,Playground / Open Turf,Mixed Use,Land,49.94,0.005,0.0123,59.73,28.59,10,82%,Pending Review
