parcel_id,land_use,area_sqm,area_hectares,area_acres,area_gaj,perimeter_m,builtup_pct,builtup_area_sqm,building_count,compactness,confidence,verification_status,centroid_lon,centroid_lat
P-0193,Vacant / Open Plot,253.4,0.0253,0.0626,303.07,107.59,0.0,0.0,0,0.275,0.81,Pending Review,77.211399,28.612883
P-0192,Vacant / Open Plot,249.9,0.025,0.0618,298.88,99.71,0.0,0.0,0,0.316,0.81,Pending Review,77.210603,28.612885
P-0188,Vacant / Open Plot,210.91,0.0211,0.0521,252.24,113.77,0.0,0.0,0,0.205,0.79,Pending Review,77.209794,28.612891
P-0187,Vacant / Open Plot,198.75,0.0199,0.0491,237.7,111.16,0.0,0.0,0,0.202,0.79,Pending Review,77.209369,28.612901
P-0194,Vacant / Open Plot,148.65,0.0149,0.0367,177.78,57.83,0.0,0.0,0,0.559,0.86,Pending Review,77.21094,28.612883
P-0473,Vacant / Open Plot,101.3,0.0101,0.025,121.15,45.1,0.0,0.0,0,0.626,0.88,Pending Review,77.210393,28.611468
P-0361,Vacant / Open Plot,99.84,0.01,0.0247,119.41,46.05,0.0,0.0,0,0.592,0.87,Pending Review,77.210138,28.612047
P-0098,Vacant / Open Plot,98.11,0.0098,0.0242,117.34,101.13,0.0,0.0,0,0.121,0.77,Pending Review,77.209703,28.613364
P-0220,Vacant / Open Plot,88.22,0.0088,0.0218,105.51,41.48,0.0,0.0,0,0.644,0.88,Pending Review,77.210998,28.612742
P-0363,Vacant / Open Plot,86.77,0.0087,0.0214,103.77,49.18,0.0,0.0,0,0.451,0.84,Pending Review,77.211106,28.612041
P-0424,Vacant / Open Plot,80.68,0.0081,0.0199,96.49,63.95,0.0,0.0,0,0.248,0.8,Pending Review,77.209297,28.611675
P-0190,Vacant / Open Plot,79.85,0.008,0.0197,95.49,56.57,0.0,0.0,0,0.313,0.81,Pending Review,77.210308,28.61289
P-0248,Vacant / Open Plot,77.77,0.0078,0.0192,93.02,77.14,0.0,0.0,0,0.164,0.78,Pending Review,77.209712,28.61263
P-0367,Vacant / Open Plot,72.28,0.0072,0.0179,86.45,72.05,0.0,0.0,0,0.175,0.78,Pending Review,77.21145,28.612037
P-0096,Vacant / Open Plot,68.93,0.0069,0.017,82.44,73.13,0.0,0.0,0,0.162,0.78,Pending Review,77.209067,28.613284
P-0468,Vacant / Open Plot,67.45,0.0067,0.0167,80.67,55.06,0.0,0.0,0,0.28,0.81,Pending Review,77.209497,28.611494
P-0121,Vacant / Open Plot,66.36,0.0066,0.0164,79.37,68.72,0.0,0.0,0,0.177,0.79,Pending Review,77.210277,28.613253
P-0174,Vacant / Open Plot,65.21,0.0065,0.0161,77.99,36.5,0.0,0.0,0,0.615,0.87,Pending Review,77.209322,28.613052
P-0212,Vacant / Open Plot,60.94,0.0061,0.0151,72.88,56.59,0.0,0.0,0,0.239,0.8,Pending Review,77.210705,28.612784
P-0331,Vacant / Open Plot,59.93,0.006,0.0148,71.68,41.34,0.0,0.0,0,0.441,0.84,Pending Review,77.209966,28.612194
P-0518,Vacant / Open Plot,59.4,0.0059,0.0147,71.04,32.45,0.0,0.0,0,0.709,0.89,Pending Review,77.21156,28.611275
P-0229,Vacant / Open Plot,58.16,0.0058,0.0144,69.56,42.88,0.0,0.0,0,0.398,0.83,Pending Review,77.210522,28.612709
P-0294,Vacant / Open Plot,56.6,0.0057,0.014,67.69,62.99,0.0,0.0,0,0.179,0.79,Pending Review,77.210419,28.612351
P-0249,Vacant / Open Plot,54.48,0.0054,0.0135,65.16,40.29,0.0,0.0,0,0.422,0.83,Pending Review,77.210566,28.612574
P-0260,Vacant / Open Plot,54.1,0.0054,0.0134,64.7,44.79,0.0,0.0,0,0.339,0.82,Pending Review,77.209235,28.612559
P-0132,Vacant / Open Plot,52.07,0.0052,0.0129,62.27,34.03,0.0,0.0,0,0.565,0.86,Pending Review,77.210603,28.613226
P-0539,Vacant / Open Plot,46.36,0.0046,0.0115,55.45,28.29,0.0,0.0,0,0.728,0.9,Pending Review,77.210249,28.61123
P-0458,Vacant / Open Plot,45.51,0.0046,0.0112,54.43,50.8,0.0,0.0,0,0.222,0.79,Pending Review,77.209777,28.611584
P-0029,Vacant / Open Plot,44.16,0.0044,0.0109,52.82,45.18,0.0,0.0,0,0.272,0.8,Pending Review,77.209473,28.613704
P-0347,Vacant / Open Plot,44.46,0.0044,0.011,53.18,31.58,0.0,0.0,0,0.56,0.86,Pending Review,77.209863,28.612148
P-0236,Vacant / Open Plot,42.6,0.0043,0.0105,50.95,39.54,0.0,0.0,0,0.342,0.82,Pending Review,77.20979,28.612715
P-0280,Vacant / Open Plot,42.6,0.0043,0.0105,50.95,48.9,0.0,0.0,0,0.224,0.79,Pending Review,77.212083,28.61245
P-0019,Vacant / Open Plot,42.31,0.0042,0.0105,50.6,35.9,0.0,0.0,0,0.413,0.83,Pending Review,77.210384,28.613739
P-0543,Vacant / Open Plot,41.64,0.0042,0.0103,49.8,40.15,0.0,0.0,0,0.325,0.81,Pending Review,77.210424,28.611225
P-0503,Vacant / Open Plot,41.09,0.0041,0.0102,49.14,35.23,0.0,0.0,0,0.416,0.83,Pending Review,77.210385,28.611398
P-0301,Vacant / Open Plot,39.83,0.004,0.0098,47.63,39.86,0.0,0.0,0,0.315,0.81,Pending Review,77.209262,28.612362
P-0198,Vacant / Open Plot,38.37,0.0038,0.0095,45.89,33.01,0.0,0.0,0,0.443,0.84,Pending Review,77.212209,28.612882
P-0366,Vacant / Open Plot,38.12,0.0038,0.0094,45.59,45.88,0.0,0.0,0,0.228,0.8,Pending Review,77.209565,28.612052
P-0152,Vacant / Open Plot,37.84,0.0038,0.0094,45.26,31.74,0.0,0.0,0,0.472,0.84,Pending Review,77.212047,28.613122
P-0433,Vacant / Open Plot,37.63,0.0038,0.0093,45.0,37.67,0.0,0.0,0,0.333,0.82,Pending Review,77.211641,28.611685
P-0161,Vacant / Open Plot,37.18,0.0037,0.0092,44.46,39.15,0.0,0.0,0,0.305,0.81,Pending Review,77.211244,28.613075
P-0406,Vacant / Open Plot,37.09,0.0037,0.0092,44.36,33.83,0.0,0.0,0,0.407,0.83,Pending Review,77.210901,28.611815
P-0023,Vacant / Open Plot,35.85,0.0036,0.0089,42.88,28.21,0.0,0.0,0,0.566,0.86,Pending Review,77.20965,28.613724
P-0516,Vacant / Open Plot,35.28,0.0035,0.0087,42.19,40.41,0.0,0.0,0,0.271,0.8,Pending Review,77.21026,28.611298
P-0030,Vacant / Open Plot,32.84,0.0033,0.0081,39.28,27.0,0.0,0.0,0,0.566,0.86,Pending Review,77.210247,28.613694
P-0042,Vacant / Open Plot,32.95,0.0033,0.0081,39.4,34.04,0.0,0.0,0,0.357,0.82,Pending Review,77.209413,28.613672
P-0149,Vacant / Open Plot,33.08,0.0033,0.0082,39.56,59.15,0.0,0.0,0,0.119,0.77,Pending Review,77.209704,28.613106
