parcel_id,land_use,area_sqm,area_hectares,area_acres,area_gaj,perimeter_m,builtup_pct,builtup_area_sqm,building_count,compactness,confidence,verification_status,centroid_lon,centroid_lat
P-0004,Vacant / Open Plot,725.34,0.0725,0.1792,867.5,257.33,0.0,0.0,0,0.138,0.78,Pending Review,77.210067,28.613806
P-0010,Vacant / Open Plot,436.0,0.0436,0.1077,521.45,88.17,0.0,0.0,0,0.705,0.89,Pending Review,77.209747,28.613349
P-0007,Vacant / Open Plot,219.38,0.0219,0.0542,262.37,151.34,0.0,0.0,0,0.12,0.77,Pending Review,77.209986,28.613589
P-0020,Vacant / Open Plot,158.44,0.0158,0.0392,189.49,82.65,0.0,0.0,0,0.291,0.81,Pending Review,77.209805,28.612807
P-0018,Vacant / Open Plot,53.03,0.0053,0.0131,63.42,42.26,0.0,0.0,0,0.373,0.82,Pending Review,77.209997,28.612918
P-0022,Vacant / Open Plot,52.75,0.0053,0.013,63.09,55.16,0.0,0.0,0,0.218,0.79,Pending Review,77.209339,28.612321
P-0019,Vacant / Open Plot,51.31,0.0051,0.0127,61.37,29.74,0.0,0.0,0,0.729,0.9,Pending Review,77.209042,28.612875
P-0013,Vacant / Open Plot,38.78,0.0039,0.0096,46.38,51.31,0.0,0.0,0,0.185,0.79,Pending Review,77.209014,28.61317
P-0017,Vacant / Open Plot,18.81,0.0019,0.0046,22.5,17.9,0.0,0.0,0,0.738,0.9,Pending Review,77.209024,28.61299
P-0008,Vacant / Open Plot,14.69,0.0015,0.0036,17.57,32.49,0.0,0.0,0,0.175,0.78,Pending Review,77.209785,28.613563
P-0006,Vacant / Open Plot,14.03,0.0014,0.0035,16.78,18.11,0.0,0.0,0,0.538,0.86,Pending Review,77.211219,28.613669
P-0014,Vacant / Open Plot,12.47,0.0012,0.0031,14.91,21.08,0.0,0.0,0,0.353,0.82,Pending Review,77.209141,28.613216
P-0015,Vacant / Open Plot,11.22,0.0011,0.0028,13.42,21.75,0.0,0.0,0,0.298,0.81,Pending Review,77.210403,28.613197
P-0023,Vacant / Open Plot,9.91,0.001,0.0024,11.85,17.41,0.0,0.0,0,0.411,0.83,Pending Review,77.209621,28.612271
P-0012,Vacant / Open Plot,7.22,0.0007,0.0018,8.63,11.55,0.0,0.0,0,0.68,0.89,Pending Review,77.211868,28.613347
