parcel_id,land_use,area_sqm,area_hectares,area_acres,area_gaj,perimeter_m,builtup_pct,builtup_area_sqm,building_count,compactness,confidence,verification_status,centroid_lon,centroid_lat
P-0008,Residential,17.51,0.0018,0.0043,20.94,26.8,0.0,0.0,0,0.306,0.81,Verified,77.209011,28.613822
P-0014,Vacant / Open Plot,5.66,0.0006,0.0014,6.77,11.62,0.0,0.0,0,0.527,0.86,Pending Review,77.209389,28.613806
P-0004,Vacant / Open Plot,2.68,0.0003,0.0007,3.2,9.51,0.0,0.0,0,0.372,0.82,Pending Review,77.209376,28.613881
P-0023,Vacant / Open Plot,2.18,0.0002,0.0005,2.6,6.2,0.0,0.0,0,0.711,0.89,Pending Review,77.209371,28.613618
P-0021,Vacant / Open Plot,2.13,0.0002,0.0005,2.55,5.85,0.0,0.0,0,0.781,0.91,Pending Review,77.20941,28.613633
P-0022,Vacant / Open Plot,1.9,0.0002,0.0005,2.28,6.22,0.0,0.0,0,0.619,0.87,Pending Review,77.209042,28.613618
P-0016,Vacant / Open Plot,1.25,0.0001,0.0003,1.5,5.21,0.0,0.0,0,0.579,0.87,Pending Review,77.209311,28.613734
P-0001,Vacant / Open Plot,1.34,0.0001,0.0003,1.6,4.79,0.0,0.0,0,0.732,0.9,Pending Review,77.209063,28.613894
P-0025,Vacant / Open Plot,1.04,0.0001,0.0003,1.24,5.81,0.0,0.0,0,0.387,0.83,Pending Review,77.209052,28.61358
P-0013,Vacant / Open Plot,1.0,0.0001,0.0002,1.2,4.17,0.0,0.0,0,0.727,0.9,Pending Review,77.20926,28.613811
P-0027,Vacant / Open Plot,0.9,0.0001,0.0002,1.08,4.76,0.0,0.0,0,0.498,0.85,Pending Review,77.209039,28.613536
P-0017,Vacant / Open Plot,1.08,0.0001,0.0003,1.29,5.51,0.0,0.0,0,0.447,0.84,Pending Review,77.209009,28.613728
P-0015,Vacant / Open Plot,0.71,0.0001,0.0002,0.85,3.41,0.0,0.0,0,0.773,0.9,Pending Review,77.20915,28.613733
P-0009,Vacant / Open Plot,0.78,0.0001,0.0002,0.93,3.5,0.0,0.0,0,0.799,0.91,Pending Review,77.209243,28.613825
P-0019,Vacant / Open Plot,0.84,0.0001,0.0002,1.0,4.47,0.0,0.0,0,0.525,0.86,Pending Review,77.209391,28.613713
P-0012,Vacant / Open Plot,0.73,0.0001,0.0002,0.87,4.3,0.0,0.0,0,0.496,0.85,Pending Review,77.209106,28.613813
P-0005,Vacant / Open Plot,0.79,0.0001,0.0002,0.94,5.14,0.0,0.0,0,0.375,0.82,Pending Review,77.209094,28.613883
P-0006,Vacant / Open Plot,0.57,0.0001,0.0001,0.68,3.27,0.0,0.0,0,0.664,0.88,Pending Review,77.209264,28.613881
P-0026,Vacant / Open Plot,0.58,0.0001,0.0001,0.69,3.05,0.0,0.0,0,0.779,0.91,Pending Review,77.209242,28.613579
