parcel_id,land_use,area_sqm,area_hectares,area_acres,area_gaj,perimeter_m,builtup_pct,builtup_area_sqm,building_count,compactness,confidence,verification_status,centroid_lon,centroid_lat
P-0034,Vacant / Open Plot,177.59,0.0178,0.0439,212.4,85.82,0.0,0.0,0,0.303,0.81,Pending Review,77.210609,28.612881
P-0030,Vacant / Open Plot,155.01,0.0155,0.0383,185.39,88.36,0.0,0.0,0,0.249,0.8,Pending Review,77.209781,28.612889
P-0036,Vacant / Open Plot,153.9,0.0154,0.038,184.06,70.11,0.0,0.0,0,0.393,0.83,Pending Review,77.211782,28.61288
P-0029,Vacant / Open Plot,112.27,0.0112,0.0277,134.27,65.28,0.0,0.0,0,0.331,0.82,Pending Review,77.209337,28.612897
P-0035,Vacant / Open Plot,83.1,0.0083,0.0205,99.39,45.64,0.0,0.0,0,0.501,0.85,Pending Review,77.210916,28.61288
P-0068,Vacant / Open Plot,62.12,0.0062,0.0154,74.29,45.93,0.0,0.0,0,0.37,0.82,Pending Review,77.209187,28.611278
P-0059,Vacant / Open Plot,52.4,0.0052,0.0129,62.67,48.16,0.0,0.0,0,0.284,0.81,Pending Review,77.211916,28.611775
P-0022,Vacant / Open Plot,41.38,0.0041,0.0102,49.49,31.81,0.0,0.0,0,0.514,0.85,Pending Review,77.210243,28.613261
P-0033,Vacant / Open Plot,36.86,0.0037,0.0091,44.08,24.97,0.0,0.0,0,0.743,0.9,Pending Review,77.21221,28.612879
P-0013,Vacant / Open Plot,36.21,0.0036,0.0089,43.31,40.39,0.0,0.0,0,0.279,0.81,Pending Review,77.210316,28.613489
P-0021,Vacant / Open Plot,35.44,0.0035,0.0088,42.39,25.4,0.0,0.0,0,0.69,0.89,Pending Review,77.212213,28.613313
P-0005,Vacant / Open Plot,31.01,0.0031,0.0077,37.09,28.42,0.0,0.0,0,0.483,0.85,Pending Review,77.21221,28.613783
P-0012,Vacant / Open Plot,28.21,0.0028,0.007,33.74,28.41,0.0,0.0,0,0.439,0.84,Pending Review,77.21181,28.61357
P-0044,Vacant / Open Plot,21.41,0.0021,0.0053,25.61,22.66,0.0,0.0,0,0.524,0.85,Pending Review,77.212217,28.612452
P-0006,Vacant / Open Plot,20.95,0.0021,0.0052,25.06,21.95,0.0,0.0,0,0.546,0.86,Pending Review,77.211149,28.613768
P-0038,Vacant / Open Plot,21.04,0.0021,0.0052,25.17,31.41,0.0,0.0,0,0.268,0.8,Pending Review,77.210109,28.612586
P-0053,Vacant / Open Plot,18.31,0.0018,0.0045,21.89,30.06,0.0,0.0,0,0.255,0.8,Pending Review,77.210341,28.612047
P-0023,Vacant / Open Plot,18.12,0.0018,0.0045,21.67,31.37,0.0,0.0,0,0.231,0.8,Pending Review,77.209061,28.613197
P-0001,Vacant / Open Plot,16.89,0.0017,0.0042,20.2,19.83,0.0,0.0,0,0.54,0.86,Pending Review,77.210273,28.613867
P-0048,Vacant / Open Plot,15.11,0.0015,0.0037,18.07,17.9,0.0,0.0,0,0.593,0.87,Pending Review,77.211338,28.612314
P-0054,Vacant / Open Plot,14.92,0.0015,0.0037,17.85,27.57,0.0,0.0,0,0.247,0.8,Pending Review,77.209988,28.612048
P-0052,Vacant / Open Plot,14.06,0.0014,0.0035,16.82,21.77,0.0,0.0,0,0.373,0.82,Pending Review,77.209541,28.61205
P-0009,Vacant / Open Plot,12.98,0.0013,0.0032,15.53,21.56,0.0,0.0,0,0.351,0.82,Pending Review,77.211429,28.613699
P-0055,Vacant / Open Plot,12.49,0.0012,0.0031,14.94,22.79,0.0,0.0,0,0.302,0.81,Pending Review,77.210488,28.612044
P-0062,Vacant / Open Plot,11.26,0.0011,0.0028,13.47,15.44,0.0,0.0,0,0.594,0.87,Pending Review,77.209727,28.611588
P-0045,Vacant / Open Plot,10.77,0.0011,0.0027,12.88,18.88,0.0,0.0,0,0.38,0.83,Pending Review,77.210715,28.612455
P-0050,Vacant / Open Plot,10.77,0.0011,0.0027,12.88,18.7,0.0,0.0,0,0.387,0.83,Pending Review,77.210689,28.612176
P-0047,Vacant / Open Plot,10.21,0.001,0.0025,12.22,18.57,0.0,0.0,0,0.372,0.82,Pending Review,77.210479,28.612438
P-0040,Vacant / Open Plot,8.68,0.0009,0.0021,10.38,19.33,0.0,0.0,0,0.292,0.81,Pending Review,77.209176,28.612559
P-0051,Vacant / Open Plot,8.03,0.0008,0.002,9.6,11.98,0.0,0.0,0,0.703,0.89,Pending Review,77.210492,28.612131
P-0011,Vacant / Open Plot,7.11,0.0007,0.0018,8.5,16.53,0.0,0.0,0,0.327,0.82,Pending Review,77.21109,28.613567
P-0039,Vacant / Open Plot,7.08,0.0007,0.0017,8.46,13.31,0.0,0.0,0,0.502,0.85,Pending Review,77.211856,28.612613
P-0025,Vacant / Open Plot,6.22,0.0006,0.0015,7.43,10.56,0.0,0.0,0,0.7,0.89,Pending Review,77.209284,28.613058
P-0018,Vacant / Open Plot,5.97,0.0006,0.0015,7.14,15.16,0.0,0.0,0,0.326,0.82,Pending Review,77.211678,28.613372
P-0015,Vacant / Open Plot,5.69,0.0006,0.0014,6.81,13.97,0.0,0.0,0,0.367,0.82,Pending Review,77.210943,28.613474
P-0069,Vacant / Open Plot,5.45,0.0005,0.0013,6.51,19.89,0.0,0.0,0,0.173,0.78,Pending Review,77.210674,28.611184
