parcel_id,land_use,area_sqm,area_hectares,area_acres,area_gaj,perimeter_m,builtup_pct,builtup_area_sqm,building_count,compactness,confidence,verification_status,centroid_lon,centroid_lat
P-0008,Vacant / Open Plot,536.35,0.0536,0.1325,641.47,139.51,0.0,0.0,0,0.346,0.82,Pending Review,77.209161,28.613279
P-0045,Vacant / Open Plot,338.86,0.0339,0.0837,405.27,93.7,0.0,0.0,0,0.485,0.85,Pending Review,77.209926,28.609656
P-0018,Vacant / Open Plot,287.8,0.0288,0.0711,344.21,87.34,0.0,0.0,0,0.474,0.84,Pending Review,77.211947,28.612456
P-0031,Vacant / Open Plot,283.35,0.0283,0.07,338.89,123.43,0.0,0.0,0,0.234,0.8,Pending Review,77.213236,28.610981
P-0040,Vacant / Open Plot,255.67,0.0256,0.0632,305.78,109.17,0.0,0.0,0,0.27,0.8,Pending Review,77.209531,28.609874
P-0003,Vacant / Open Plot,241.7,0.0242,0.0597,289.07,101.23,0.0,0.0,0,0.296,0.81,Pending Review,77.213506,28.613613
P-0025,Vacant / Open Plot,184.8,0.0185,0.0457,221.01,63.33,0.0,0.0,0,0.579,0.87,Pending Review,77.209856,28.612059
P-0054,Vacant / Open Plot,174.25,0.0174,0.0431,208.41,80.22,0.0,0.0,0,0.34,0.82,Pending Review,77.209929,28.608987
P-0005,Vacant / Open Plot,169.56,0.017,0.0419,202.79,94.98,0.0,0.0,0,0.236,0.8,Pending Review,77.212039,28.613562
P-0049,Vacant / Open Plot,159.78,0.016,0.0395,191.09,55.97,0.0,0.0,0,0.641,0.88,Pending Review,77.210425,28.609295
P-0015,Vacant / Open Plot,143.65,0.0144,0.0355,171.8,54.82,0.0,0.0,0,0.601,0.87,Pending Review,77.209948,28.612591
P-0065,Vacant / Open Plot,140.22,0.014,0.0346,167.7,83.46,0.0,0.0,0,0.253,0.8,Pending Review,77.213168,28.608337
P-0048,Vacant / Open Plot,130.82,0.0131,0.0323,156.46,84.74,0.0,0.0,0,0.229,0.8,Pending Review,77.213277,28.609312
P-0036,Vacant / Open Plot,105.16,0.0105,0.026,125.77,51.91,0.0,0.0,0,0.49,0.85,Pending Review,77.213677,28.610219
P-0028,Vacant / Open Plot,98.05,0.0098,0.0242,117.27,53.7,0.0,0.0,0,0.427,0.84,Pending Review,77.209786,28.611709
P-0019,Vacant / Open Plot,95.76,0.0096,0.0237,114.53,54.06,0.0,0.0,0,0.412,0.83,Pending Review,77.210735,28.61247
P-0057,Vacant / Open Plot,95.38,0.0095,0.0236,114.08,59.21,0.0,0.0,0,0.342,0.82,Pending Review,77.211679,28.608935
P-0052,Vacant / Open Plot,93.6,0.0094,0.0231,111.95,41.77,0.0,0.0,0,0.674,0.88,Pending Review,77.20938,28.609101
P-0067,Vacant / Open Plot,91.83,0.0092,0.0227,109.82,44.75,0.0,0.0,0,0.576,0.87,Pending Review,77.211063,28.608173
P-0034,Vacant / Open Plot,89.92,0.009,0.0222,107.55,47.49,0.0,0.0,0,0.501,0.85,Pending Review,77.212966,28.610259
P-0004,Vacant / Open Plot,76.46,0.0076,0.0189,91.44,56.86,0.0,0.0,0,0.297,0.81,Pending Review,77.212987,28.613647
P-0064,Vacant / Open Plot,75.7,0.0076,0.0187,90.53,40.71,0.0,0.0,0,0.574,0.86,Pending Review,77.209958,28.608447
P-0012,Vacant / Open Plot,58.55,0.0059,0.0145,70.03,41.18,0.0,0.0,0,0.434,0.84,Pending Review,77.210387,28.61311
P-0017,Vacant / Open Plot,57.92,0.0058,0.0143,69.27,55.54,0.0,0.0,0,0.236,0.8,Pending Review,77.210559,28.612539
P-0058,Vacant / Open Plot,57.15,0.0057,0.0141,68.36,53.52,0.0,0.0,0,0.251,0.8,Pending Review,77.212243,28.608959
P-0037,Vacant / Open Plot,52.96,0.0053,0.0131,63.34,54.77,0.0,0.0,0,0.222,0.79,Pending Review,77.213309,28.610182
P-0053,Vacant / Open Plot,52.58,0.0053,0.013,62.89,39.28,0.0,0.0,0,0.428,0.84,Pending Review,77.213532,28.609085
P-0047,Vacant / Open Plot,50.93,0.0051,0.0126,60.91,32.76,0.0,0.0,0,0.597,0.87,Pending Review,77.212465,28.609498
P-0027,Vacant / Open Plot,49.91,0.005,0.0123,59.7,39.23,0.0,0.0,0,0.408,0.83,Pending Review,77.210416,28.611903
P-0050,Vacant / Open Plot,47.12,0.0047,0.0116,56.36,37.39,0.0,0.0,0,0.424,0.83,Pending Review,77.209071,28.609278
P-0044,Vacant / Open Plot,45.47,0.0045,0.0112,54.38,80.16,0.0,0.0,0,0.089,0.77,Pending Review,77.213166,28.609787
P-0030,Vacant / Open Plot,45.21,0.0045,0.0112,54.08,48.19,0.0,0.0,0,0.245,0.8,Pending Review,77.21373,28.611299
