parcel_id,land_use,area_sqm,area_hectares,area_acres,area_gaj,perimeter_m,builtup_pct,builtup_area_sqm,building_count,compactness,confidence,verification_status,centroid_lon,centroid_lat
P-0012,Residential,5.85,0.0006,0.0014,7.0,11.98,0.0,0.0,0,0.512,0.85,Verified,77.209018,28.613849
P-0063,Vacant / Open Plot,5.08,0.0005,0.0013,6.07,11.29,0.0,0.0,0,0.5,0.85,Pending Review,77.209372,28.613618
P-0010,Vacant / Open Plot,4.4,0.0004,0.0011,5.27,13.5,0.0,0.0,0,0.304,0.81,Pending Review,77.209162,28.613851
P-0022,Vacant / Open Plot,2.84,0.0003,0.0007,3.39,10.26,0.0,0.0,0,0.339,0.82,Pending Review,77.209377,28.613803
P-0058,Vacant / Open Plot,2.28,0.0002,0.0006,2.72,7.33,0.0,0.0,0,0.532,0.86,Pending Review,77.209408,28.613633
P-0001,Vacant / Open Plot,2.1,0.0002,0.0005,2.51,11.62,0.0,0.0,0,0.196,0.79,Pending Review,77.209093,28.613879
P-0020,Vacant / Open Plot,1.64,0.0002,0.0004,1.97,5.32,0.0,0.0,0,0.73,0.9,Pending Review,77.20926,28.613811
P-0015,Vacant / Open Plot,1.36,0.0001,0.0003,1.62,4.74,0.0,0.0,0,0.76,0.9,Pending Review,77.209242,28.613825
P-0067,Vacant / Open Plot,1.36,0.0001,0.0003,1.62,6.45,0.0,0.0,0,0.409,0.83,Pending Review,77.209167,28.613602
P-0026,Vacant / Open Plot,1.5,0.0002,0.0004,1.79,7.95,0.0,0.0,0,0.299,0.81,Pending Review,77.209147,28.613784
P-0030,Vacant / Open Plot,1.64,0.0002,0.0004,1.96,7.6,0.0,0.0,0,0.357,0.82,Pending Review,77.209394,28.613758
P-0031,Vacant / Open Plot,1.47,0.0001,0.0004,1.75,7.94,0.0,0.0,0,0.292,0.81,Pending Review,77.209252,28.613766
P-0014,Vacant / Open Plot,1.07,0.0001,0.0003,1.27,4.37,0.0,0.0,0,0.701,0.89,Pending Review,77.209105,28.613834
P-0068,Vacant / Open Plot,1.06,0.0001,0.0003,1.27,4.17,0.0,0.0,0,0.766,0.9,Pending Review,77.209242,28.613595
P-0070,Vacant / Open Plot,0.96,0.0001,0.0002,1.15,4.41,0.0,0.0,0,0.622,0.87,Pending Review,77.209242,28.613578
P-0029,Vacant / Open Plot,1.0,0.0001,0.0002,1.19,4.36,0.0,0.0,0,0.657,0.88,Pending Review,77.209379,28.61377
P-0040,Vacant / Open Plot,1.03,0.0001,0.0003,1.24,5.04,0.0,0.0,0,0.512,0.85,Pending Review,77.209114,28.613721
P-0023,Vacant / Open Plot,0.91,0.0001,0.0002,1.08,4.02,0.0,0.0,0,0.703,0.89,Pending Review,77.209242,28.613806
P-0013,Vacant / Open Plot,0.78,0.0001,0.0002,0.93,5.24,0.0,0.0,0,0.355,0.82,Pending Review,77.209135,28.613846
P-0037,Vacant / Open Plot,0.88,0.0001,0.0002,1.06,4.14,0.0,0.0,0,0.647,0.88,Pending Review,77.209013,28.613729
P-0052,Vacant / Open Plot,0.86,0.0001,0.0002,1.03,3.8,0.0,0.0,0,0.752,0.9,Pending Review,77.209265,28.613685
P-0038,Vacant / Open Plot,0.76,0.0001,0.0002,0.91,4.27,0.0,0.0,0,0.523,0.85,Pending Review,77.20917,28.613727
P-0062,Vacant / Open Plot,0.87,0.0001,0.0002,1.04,3.64,0.0,0.0,0,0.822,0.91,Pending Review,77.209242,28.613624
P-0006,Vacant / Open Plot,0.73,0.0001,0.0002,0.88,4.53,0.0,0.0,0,0.449,0.84,Pending Review,77.209163,28.613877
P-0044,Vacant / Open Plot,0.64,0.0001,0.0002,0.77,5.19,0.0,0.0,0,0.299,0.81,Pending Review,77.209182,28.613712
P-0048,Vacant / Open Plot,0.69,0.0001,0.0002,0.83,3.84,0.0,0.0,0,0.588,0.87,Pending Review,77.209115,28.613706
P-0017,Vacant / Open Plot,0.53,0.0001,0.0001,0.64,3.1,0.0,0.0,0,0.695,0.89,Pending Review,77.209304,28.613821
P-0054,Vacant / Open Plot,0.75,0.0001,0.0002,0.9,3.91,0.0,0.0,0,0.615,0.87,Pending Review,77.209239,28.613664
P-0056,Vacant / Open Plot,0.66,0.0001,0.0002,0.79,3.39,0.0,0.0,0,0.723,0.89,Pending Review,77.209148,28.613663
P-0059,Vacant / Open Plot,0.65,0.0001,0.0002,0.78,3.59,0.0,0.0,0,0.633,0.88,Pending Review,77.209258,28.613636
P-0051,Vacant / Open Plot,0.6,0.0001,0.0001,0.72,3.46,0.0,0.0,0,0.629,0.88,Pending Review,77.209167,28.613689
P-0046,Vacant / Open Plot,0.53,0.0001,0.0001,0.64,3.01,0.0,0.0,0,0.739,0.9,Pending Review,77.209134,28.613711
